Process_Dating,Trade_ID,Transaction_Date,Currency,Customer_ID,Encum_Status,Product_Type,PV,PV_CDE,Encum_Mat_Date,Margin_Type,Security_ID,Post_Direction,CSA_ID,Quantity
2019-07-31,T16_0016,2019-01-20,KRW,C001,0,Cash,173913043.5,204000,2019-10-06,Variation Margin,,Deliv to Bank,ABC CSA,
2019-07-31,T16_0033,2019-03-10,USD,C001,0,Cash,89624.27,117000,2019-07-14,Variation Margin,,Deliv to Bank,ABC CSA,
2019-07-31,T16_0045,2019-04-06,GBP,C001,0,Security,67550.08,116676.49,2020-02-06,Variation Margin,G19081101,Deliv to Bank,ABC CSA,8000
2019-07-31,T16_0052,2019-04-29,USD,C001,0,Security,517676.66,675801,2020-02-18,Variation Margin,912828WT3,Deliv to Bank,ABC CSA,7000
2019-07-31,T16_0071,2019-06-07,CAD,C001,0,Security,64526.23,64526.23,2019-09-23,Variation Margin,112585740,Deliv to Cpty,ABC CSA,7000
2019-07-31,T16_0094,2019-07-20,USD,C001,0,Security,142931.33,186589.7,2020-03-17,Initial Margin,146229109,Deliv to Bank,ABC CSA,6000
2019-07-31,T16_0001,2019-01-02,GBP,C002,0,Cash,138369.52,239000,2019-12-13,Variation Margin,,Deliv to Bank,Pear CSA,
2019-07-31,T16_0023,2019-02-20,CAD,C002,100,Security,573317.83,573317.83,2020-01-02,Variation Margin,961148509,Deliv to Cpty,Pear CSA,5000
2019-07-31,T16_0053,2019-04-30,CAD,C002,0,Security,489645,489645,2019-07-18,Variation Margin,S0015,Deliv to Bank,Pear CSA,5000
2019-07-31,T16_0061,2019-05-20,JPY,C002,0,Cash,28997967.8,371000,2019-09-28,Variation Margin,,Deliv to Bank,Pear CSA,
2019-07-31,T16_0093,2019-07-19,CAD,C002,0,Security,46090.16,46090.16,2020-03-16,Variation Margin,112585740,Deliv to Bank,Pear CSA,5000
2019-07-31,T16_0095,2019-07-20,CAD,C002,0,Security,687981.39,687981.39,2020-07-17,Initial Margin,961148509,Deliv to Bank,Pear CSA,6000
2019-07-31,T16_0004,2019-01-06,USD,C003,100,Security,238218.88,310982.83,2019-03-22,Variation Margin,146229109,Deliv to Bank,IDM CSA,10000
2019-07-31,T16_0005,2019-01-08,CAD,C003,0,Security,413801.66,413801.66,2019-09-29,Variation Margin,699320206,Deliv to Cpty,IDM CSA,8000
2019-07-31,T16_0014,2019-01-18,HKD,C003,100,Security,2586156.53,435149.28,2019-06-18,Variation Margin,Y14965100,Deliv to Cpty,IDM CSA,10000
2019-07-31,T16_0027,2019-02-28,JPY,C003,0,Cash,25324370.8,324000,2019-06-13,Initial Margin,,Deliv to Bank,IDM CSA,
2019-07-31,T16_0047,2019-04-10,CAD,C003,0,Security,334336.03,334336.03,2019-12-21,Variation Margin,960410504,Deliv to Bank,IDM CSA,6000
2019-07-31,T16_0067,2019-06-01,USD,C003,0,Security,666501.21,870084,2020-04-26,Variation Margin,912810EZ7,Deliv to Cpty,IDM CSA,9000
2019-07-31,T16_0069,2019-06-03,JPY,C003,0,Security,28370379.33,362970.63,2019-09-01,Variation Margin,S0013,Deliv to Cpty,IDM CSA,6000
